Question;A;B;C;D;E;Answer;Level
Renata ma 20 kart z liczbą 22 na każdej z nich i 22 karty z liczbą 20. Ile wynosi suma wszystkich cyfr zapisanych na tych kartach?;A) 120;B) 124;C) 128;D) 132;E) 144;B;1
Ile punktów na okręgu o środku w punkcie (0,0) i promieniu 5 ma obie współrzędne całkowite?;A) 5;B) 8;C) 12;D) 16;E) 20;C;2
Widownia boiska jest prostokątem utworzonym z siedzeń ustawionych w regularne rzędy i kolumny. Na ostatnim meczu w każdym rzędzie siedziało 11 kibiców gospodarzy, w każdej kolumnie siedziało 14 kibiców gości i dokładnie 17 miejsc na widowni pozostało wolnych. Co najmniej ile miejsc ma widownia?;A) 500;B) 660;C) 690;D) 840;E) 994;B;3
Ile spośród liczb trzycyfrowych utworzonych jedynie z cyfr 1, 3 i 5 (każdej cyfry można używać wielokrotnie) jest podzielnych przez 3?;A) 3;B) 6;C) 9;D) 18;E) 27;C;1
Na tablicy zapisano liczby 1, 2, 7, 9, 10, 15 i 19. Dwaj gracze usuwają na zmianę po jednej liczbie, aż na tablicy pozostanie tylko jedna liczba. Jaka liczba pozostanie na tablicy, jeśli suma liczb usuniętych przez jednego gracza będzie dwukrotnie większa od sumy liczb usuniętych przez drugiego gracza?;A) 7;B) 9;C) 10;D) 15;E) 19;B;2
Liczby całkowite od 1 do 1000 wypisujemy w pewnej kolejności w rzędzie jedna za drugą i obliczamy wszystkie sumy trzech kolejnych z tych liczb. Co najwyżej ile spośród wszystkich tych sum jest liczbami nieparzystymi?;A) 997;B) 996;C) 995;D) 994;E) 993;A;3
Które z poniższych wyrażeń przy żadnym całkowitym n nie daje liczby podzielnej przez 3?;A) 5n+1;B) n²;C) n(n+1);D) 6n-1;E) n³-2;D;1
Góra lodowa ma kształt sześcianu. Pod wodą znajduje się 90% objętości góry. Nad powierzchnię wody wystaje tylko jeden wierzchołek sześcianu i fragmenty trzech sąsiednich krawędzi długości odpowiednio 24m, 25m i 27m. Jaka jest długość krawędzi tego sześcianu?;A) 30m;B) 33m;C) 34m;D) 35m;E) 39m;A;2
Tomek ma w pudełku 71 kulek. W jednym ruchu wolno mu wyjąć z pudełka dokładnie 30 kulek lub dołożyć do pudełka 18 kulek spośród wcześniej wyjętych. Tomek może powtarzać powyższe operacje tyle razy, ile chce. Jaka jest najmniejsza możliwa liczba kulek w pudełku?;A) 1;B) 3;C) 5;D) 7;E) 11;C;3
Niech N będzie najmniejszą liczbą naturalną o sumie cyfr równej 2019. Jaka jest pierwsza od lewej cyfra liczby N?;A) 2;B) 3;C) 4;D) 5;E) 6;B;1
Ze zbioru wierzchołków pewnego wielokąta wypukłego wybieramy losowo dwa punkty. Prawdopodobieństwo, że wybrane punkty są końcami pewnej przekątnej tego wielokąta, wynosi 0,8. Ile boków ma wielokąt?;A) 8;B) 9;C) 10;D) 11;E) 2019;D;2
Cztery różne proste przechodzące przez początek układu współrzędnych przecinają parabolę y = x² − 2 w ośmiu punktach. Czemu może być równy iloczyn odciętych (tj. współrzędnych „iksowych”) tych ośmiu punktów?;A) Tylko 16;B) Tylko -16.;C) Tylko 8;D) Tylko -8.;E) Iloczyn może przyjmować różne wartości.;A;3
W pudełku jest 65 kul, przy czym 8 z nich jest białych, a pozostałe są czarne. W jednym ruchu możemy wyjąć z pudełka nie więcej niż 5 kul. Kule raz wyjęte z pudełka już do niego nie wracają. Jaką najmniejszą liczbę ruchów trzeba wykonać, aby mieć pewność, że została wyjęta przynajmniej jedna biała kula?;A) 11;B) 12;C) 13;D) 14;E) 15;B;1
Spośród pięciu kart oznaczonych liczbami 3, 4, 5, 6 i 7 Anna wybrała trzy, a Beata dostała pozostałe dwie. Każda z nich obliczyła iloczyn liczb na swoich kartach i okazało się, że suma tych iloczynów jest liczbą pierwszą. Ile wynosi suma liczb na kartach Anny?;A) 12;B) 13;C) 15;D) 17;E) 18;B;2
Czterej bracia A, B, C i D są różnego wzrostu. Oświadczyli oni, co następuje. A powiedział: ,,Nie jestem ani najniższy, ani najwyższy'', B: ,,Nie jestem najniższy'', C: ,,Jestem najwyższy'', a D powiedział: ,,Jestem najniższy''. Który z nich jest najwyższy, jeśli dokładnie jeden z nich skłamał?;A) A;B) B;C) C;D) D;E) Za mało informacji, by to stwierdzić;B;3
Bartek jest zapalonym modelarzem. Jego ulubionym modelem jest model kolejki elektrycznej w skali 1 : 87 zwany przez modelarzy H0. Wykonał do niego wiele dodatkowych figurek, w tym dwucentymetrową figurkę swojego brata, oczywiście wszystkie w skali modelu. Jaki jest rzeczywisty wzrost jego brata?;A) 1,74 m;B) 1,62 m;C) 1,86 m;D) 1,94 m;E) 1,70 m;A;1
